"""%1"" is a required field.","""%1"" jest polem wymaganym."
"""%1"" is required.","%1 jest wymagane."
"""%1"" is required. Enter and try again.","%1 jest wymagane."
"""%fieldName"" is required. Enter and try again.","%fieldName jest wymagane."
"""regionId"" is required. Enter and try again.","""Województwo"" jest wymagane."
"# of Items (and above)","Ilość produktów (i powyżej)"
"# of Items vs. Destination","Ilość produktów w zależności od lokalizacji"
"${ $.visible } out of ${ $.total } visible","Włączone: ${ $.visible } / ${ $.total }"
"%1 %2 %3 %4 while %5 of these Conditions match:","%1 %2 %3 %4 podczas kiedy %5 z tych warunków pasują:"
"%1 & applied","%1 i zastosowane"
"%1 (Default)","%1 (domyślne)"
"%1 - Discounts and Coupons","%1 - obniżki i kupony"
"%1 - Special Products","%1 - specjalne produkty"
"%1 / %2 rate:","%1 / %2 cena:"
"%1 An empty value is allowed as well.","%1 wartość pusta jest również dozwolona."
"%1 Cart Price Rules based on ""%2"" attribute have been disabled.","%1 zasada ceny koszyku na podstawie atrybutu ""%2"" zostały wyłączone."
"%1 Excl. Tax","%1 bez podatku"
"%1 Gallery","Galeria %1"
"%1 Gallery Navigation","Nawigacja galerii %1"
"%1 Gallery Thumbnails","Miniatury galerii %1"
"%1 Item","%1 przedmiot"
"%1 Item(s)","%1 przedmiot(y)"
"%1 Items","Produkty %1"
"%1 RMA (s) have been closed.","%1 zleceń RMA zostało zamkniętych."
"%1 RMA(s) cannot be closed","%1 zleceń RMA nie może zostać zamkniętych"
"%1 Review(s)","%1 recenzja(i)"
"%1 Reward points","%1 - Punkty lojalnościowe"
"%1 Reward points (%2)","%1 nagroda punktów (%2)"
"%1 [%2]","%1[%2]"
"%1 address cannot be shown due to a technical malfunction.","Adres %1 nie może zostać wyświetlony z powodu błędu technicznego."
"%1 address could not be found.","Nie można znaleźć adresu %1."
"%1 and above","%1 i więcej"
"%1 and greater","%1 i więcej"
"%1 cache type(s) disabled.","Pomyślnie wyłączone pamięci podręczne: %1."
"%1 cache type(s) enabled.","Pomyślnie włączone pamięci podręczne: %1."
"%1 cache type(s) refreshed.","Pomyślnie odświeżone pamięci podręczne: %1."
"%1 cannot contain more than %2 lines.","""%1"" nie może zawierać więcej niż %2 linii."
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","Klasa %1 nie implementuje \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"%1 class doesn't implement \Magento\Payment\Model\MethodInterface","Klasa %1 nie implementuje \Magento\Payment\Model\MethodInterface"
"%1 contains non-alphabetic characters.","""%1"" zawiera znaki spoza alfabetu."
"%1 contains non-alphabetic or non-numeric characters.","""%1"" zawiera znaki spoza alfabetu lub nieliczbowe."
"%1 contains non-numeric characters.","""%1"" zawiera znaki nieliczbowe."
"%1 coupon code was not applied. Do not apply discount is selected for item(s)","nie zastosowano kodu kuponu ""%1"". Nie obowiązują zniżki dla wybranych produktów"
"%1 coupon(s) have been generated.","%1 kodów zostało wygenerowanych."
"%1 does not contain field '%2'","%1 nie zawiera pola '%2'"
"%1 does not contain field 'file'","%1 nie zawiera pola 'file'"
